1.00 -1.50 1.43 -1.40 1.53
1.50 -2.25 2.14 -2.11 2.28
2.00 -3.00 2.85 -2.81 3.02
2.50 -3.75 3.56 -3.51 3.78
3.00 -4.50 4.26 -4.23 4.53
3.50 -5.25 4.97 -4.93 5.29
4.00 -5.99 5.67 -5.65 6.04
4.50 -6.74 6.39 -6.35 6.80

0.10 -1.65 1.29 -1.26 1.68
0.15 -2.38 2.02 -1.99 2.41
0.20 -3.10 2.75 -2.70 3.14
0.25 -3.83 3.48 -3.44 3.88
0.30 -4.55 4.21 -4.15 4.60
0.35 -5.28 4.94 -4.89 5.32
0.40 -6.02 5.67 -5.60 6.04
0.45 -6.74 6.39 -6.35 6.79

0.10 -8.5
0.20 -16.4
0.30 -25.0
0.40 -33.1
0.50 -41.6
0.60 -49.9
0.70 -57.7
0.80 -66.0
0.90 -74.4
1.00 -83.0
